properties.id,properties.name,properties.proposer,properties.status.id,properties.status.name,properties.district,properties.year,properties.budget,properties.detail,properties.category.name,properties.image,latitude,longitude,category_category,category.status,ObjectId,x,y
1978,Kostelní zmola pro sportovní aktivity,Jarmila Pipeková,14,nezískal podporu,Brno - Královo Pole,2022,1030000,https://paro.damenavas.cz/projekt/?id=1978,Sport,https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/sport.svg,49.238538483916,16.6000624788717,failed,"Sport, failed",321,1847910.50228452,6315433.73570065
1979,Pracovny v parku,Hana Řádová,15,nevítězný,Brno,2022,2600000,https://paro.damenavas.cz/projekt/?id=1979,Jiné,https://paro.damenavas.cz/wp-content/uploads/2022/05/11182679_1651034271797917_5661954835010516340_o-300x300.jpg,49.19498,16.608303,failed,"Jiné, failed",322,1848827.8329004,6308010.41210166
1980,Lepší péče pro zdraví stromů,Michal Polanský,15,nevítězný,Brno,2022,4995000,https://paro.damenavas.cz/projekt/?id=1980,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2022/05/Uvod2-300x300.jpg,49.19498,16.608303,failed,"Zeleň, failed",323,1848827.8329004,6308010.41210166
1981,Multifunkční hřiště v Komecu,Antonín Trčálek,14,nezískal podporu,Brno - Jih,2022,5000000,https://paro.damenavas.cz/projekt/?id=1981,Děti,https://paro.damenavas.cz/wp-content/uploads/2022/05/mapka_final-300x250.png,49.178851210444,16.6236488699204,failed,"Děti, failed",324,1850536.12732572,6305263.37013178
1982,Bezbariérový přístup do Tyršova sadu,Jana Musilová,14,nezískal podporu,Brno - Střed,2022,2650000,https://paro.damenavas.cz/projekt/?id=1982,Zdraví,https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/zdravi.svg,49.203474807,16.6035591894872,failed,"Zdraví, failed",325,1848299.75432969,6309457.60065804
1983,Vnitroblok u Boženky,Martin Musil,14,nezískal podporu,Brno - Královo Pole,2022,1000000,https://paro.damenavas.cz/projekt/?id=1983,Děti,https://paro.damenavas.cz/wp-content/uploads/2022/05/20220415_092930-300x169.jpg,49.229019309325,16.5909006518166,failed,"Děti, failed",326,1846890.61236201,6313810.90026573
1984,Živé Brno,Miroslava  Mala,14,nezískal podporu,Brno,2022,5000000,https://paro.damenavas.cz/projekt/?id=1984,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2022/05/IMG20220515131303-4-300x225.jpg,49.19498,16.608303,failed,"Zeleň, failed",327,1848827.8329004,6308010.41210166
1985,VODÁCI NA SVRATCE,Jakub  Němec,6,neproveditelný,Brno - Střed,2022,4000000,https://paro.damenavas.cz/projekt/?id=1985,Sport,https://paro.damenavas.cz/wp-content/uploads/2022/05/gal56_obr1315854692_19-300x221.jpg,49.182715401867,16.5805427933144,failed,"Sport, failed",328,1845737.58082784,6305921.43442622
1986,Tkalcovna Brno,Miroslav Urban,6,neproveditelný,Brno - Střed,2022,5000000,https://paro.damenavas.cz/projekt/?id=1986,Vzdělání,https://paro.damenavas.cz/wp-content/uploads/2022/05/A11I6706-min-300x200.jpg,49.19305070538,16.6058329895091,failed,"Vzdělání, failed",329,1848552.8725903,6307681.76909752
1987,Kompostuj Brno!,Martin Basel,15,nevítězný,Brno,2022,3500000,https://paro.damenavas.cz/projekt/?id=1987,Jiné,https://paro.damenavas.cz/wp-content/uploads/2022/05/7E3B1FD6-AB68-4438-A777-39AA9874818A-300x300.jpeg,49.19498,16.608303,failed,"Jiné, failed",330,1848827.8329004,6308010.41210166
