properties.id;properties.name;properties.proposer;properties.status.id;properties.status.name;properties.district;properties.year;properties.budget;properties.detail;properties.category.name;properties.image;latitude;longitude;category_category;category.status;ObjectId;x;y
2359;Zemankou bezpečně;J Skřivánek;5;proveditelný;Brno - Slatina;2024;3586000;https://paro.damenavas.cz/projekt/?id=2359;Doprava;https://paro.damenavas.cz/wp-content/uploads/2024/05/zemanka_1-300x122.jpg;49,17727971;16,68278565;got approval;Doprava, got approval;1004;1857119,204;6304995,762
2361;Přemístění soch;alena Laštůvková;6;neproveditelný;Brno - Střed;2024;160000;https://paro.damenavas.cz/projekt/?id=2361;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/05/inka-brno-dalsi-zajimavosti-socha-obchodu-tolerance-a-300x221.jpg;49,19225459;16,60715847;failed;Kultura, failed;1005;1848700,424;6307546,16
2362;Čisté Brno. Naše volba!;Jan Čihal;5;proveditelný;Brno;2024;4836000;https://paro.damenavas.cz/projekt/?id=2362;Jiné;https://paro.damenavas.cz/wp-content/uploads/2024/05/1700728788754--300x135.jpg;49,19498;16,608303;got approval;Jiné, got approval;1006;1848827,833;6308010,412
2363;Oprava cesty pod čističkou ul.Vinohrady;Petr Kopecký;6;neproveditelný;Brno - Střed;2024;1015000;https://paro.damenavas.cz/projekt/?id=2363;Doprava;https://paro.damenavas.cz/wp-content/uploads/2024/05/Cesta_pod_COV_povrch-300x237.jpg;49,18128754;16,57234837;failed;Doprava, failed;1007;1844825,382;6305678,266
2370;Venkovní posilovna & workout na Kraví hoře;Tomáš Ferby;5;proveditelný;Brno - Střed;2024;5000000;https://paro.damenavas.cz/projekt/?id=2370;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/07/workout_hriste-child-97.372-1-300x188.jpg;49,20361911;16,58524486;got approval;Sport, got approval;1008;1846261,013;6309482,186
2376;Bikepark Černovice;Tomáš Hladík;5;proveditelný;Brno - Černovice;2024;4950000;https://paro.damenavas.cz/projekt/?id=2376;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/05/hapbrno_asphalt_pumptrack_with_children_c59edd42-67e6-49fb-ad51-0da75ef35b02_3-300x300.png;49,17939595;16,63820242;got approval;Sport, got approval;1009;1852156,221;6305356,135
2382;Tomáškova cesta;Evžen Tomášek;5;proveditelný;Brno - Královo Pole;2024;3150000;https://paro.damenavas.cz/projekt/?id=2382;Doprava;https://paro.damenavas.cz/wp-content/uploads/2024/05/cesta-300x201.png;49,22898595;16,58318476;got approval;Doprava, got approval;1010;1846031,683;6313805,214
2383;Nový park s pumptrackem v Žabinách;Michal Příkazský;5;proveditelný;Brno - Žabovřesky;2024;4918000;https://paro.damenavas.cz/projekt/?id=2383;Sport;https://paro.damenavas.cz/wp-content/uploads/2024/07/zabiny-pumptrack-300x209.png;49,21926189;16,57675602;got approval;Sport, got approval;1011;1845316,039;6312147,774
2385;Metropol;Petr Kanda;5;proveditelný;Brno;2024;1650000;https://paro.damenavas.cz/projekt/?id=2385;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/09/metropol04-300x300.jpg;49,19498;16,608303;got approval;Kultura, got approval;1012;1848827,833;6308010,412
2387;Klubovna Hasička;Eliška Jarušková;5;proveditelný;Brno - Bosonohy;2024;5000000;https://paro.damenavas.cz/projekt/?id=2387;Jiné;https://paro.damenavas.cz/wp-content/uploads/2024/05/image2-300x168.jpeg;49,17541937;16,53072818;got approval;Jiné, got approval;1013;1840192,243;6304678,977
